  0       0.00
  1       0.00
  2       4.00
  3      18.00
  4      48.00
  5     100.00
  6     180.00
  7     294.00
  8     448.00
  9     648.00
 10     900.00
 11    1210.00
 12    1584.00
 13    2028.00
 14    2548.00
 15    3150.00
 16    3840.00
 17    4624.00
 18    5508.00
 19    6498.00
 20    7600.00
 21    8820.00
 22   10164.00
 23   11638.00
 24   13248.00
 25   15000.00
 26   16900.00
 27   18954.00
 28   21168.00
 29   23548.00
 30   26100.00
 31   28830.00
 32   31744.00
 33   34848.00
 34   38148.00
 35   41650.00
 36   45360.00
 37   49284.00
 38   53428.00
 39   57798.00
 40   62400.00
 41   67240.00
 42   72324.00
 43   77658.00
 44   83248.00
 45   89100.00
 46   95220.00
 47  101614.00
 48  108288.00
 49  115248.00
 50  122500.00
 51  130050.00
 52  137904.00
 53  146068.00
 54  154548.00
 55  163350.00
 56  172480.00
 57  181944.00
 58  191748.00
 59  201898.00
 60  212400.00
 61  223260.00
 62  234484.00
 63  246078.00
 64  258048.00
 65  270400.00
 66  283140.00
 67  296274.00
 68  309808.00
 69  323748.00
 70  338100.00
 71  352870.00
 72  368064.00
 73  383688.00
 74  399748.00
 75  416250.00
 76  433200.00
 77  450604.00
 78  468468.00
 79  486798.00
 80  505600.00
 81  524880.00
 82  544644.00
 83  564898.00
 84  585648.00
 85  606900.00
 86  628660.00
 87  650934.00
 88  673728.00
 89  697048.00
 90  720900.00
 91  745290.00
 92  770224.00
 93  795708.00
 94  821748.00
 95  848350.00
 96  875520.00
 97  903264.00
 98  931588.00
 99  960498.00
100  990000.00
101 1020100.00
102 1050804.00
103 1082118.00
104 1114048.00
105 1146600.00
106 1179780.00
107 1213594.00
108 1248048.00
109 1283148.00
110 1318900.00
111 1355310.00
112 1392384.00
113 1430128.00
114 1468548.00
115 1507650.00
116 1547440.00
117 1587924.00
118 1629108.00
119 1670998.00
120 1713600.00
121 1756920.00
122 1800964.00
123 1845738.00
124 1891248.00
125 1937500.00
126 1984500.00
127 2032254.00
